Gene	Length(codons)	Average reads (per codon)	Sum of reads
YKL096W-A	93	1731.51612903	161031
YNL255C	154	43.5454545455	6706
YLR355C	396	232.075757576	91902
YLR300W	449	102.423162584	45988
YHR007C	531	48.0188323917	25498
YLR179C	202	51.6435643564	10432
YDL055C	362	314.604972376	113887
YML009C	71	18.2816901408	1298
YKL182W	2052	103.165692008	211696
YER030W	154	25.5519480519	3935
YKR039W	603	68.1907131012	41119
YPL265W	609	73.5681444992	44803
YEL026W	127	88.8897637795	11289
YLR056W	366	39.5273224044	14467
YHR193C	175	244.942857143	42865
YBL099W	546	70.4395604396	38460
YBR162C	456	89.7697368421	40935
YGL148W	377	39.6763925729	14958
YPL078C	245	32.1020408163	7865
YMR108W	688	29.7078488372	20439
YDR233C	296	84.1114864865	24897
YJR070C	326	30.6441717791	9990
YCR005C	461	83.6312364425	38554
YKL056C	168	421.113095238	70747
YNL007C	353	63.2804532578	22338
YBR164C	184	22.527173913	4145
YER012W	199	33.7989949749	6726
YDL135C	203	21.0344827586	4270
YPL237W	286	38.3216783217	10960
YML058W	105	189.2	19866
YPL154C	406	95.9778325123	38967
YHR137W	514	39.3112840467	20206
YDR276C	56	218.125	12215
YBR286W	538	89.3159851301	48052
YOR362C	289	34.2283737024	9892
YML074C	412	44.3980582524	18292
YGR253C	261	40.9578544061	10690
YDR510W	102	112.696078431	11495
YPL231W	1888	98.96875	186853
YBR162W-A	66	41.803030303	2759
YKR048C	418	28.0358851675	11719
YAL012W	395	122.070886076	48218
YMR002W	157	97.2675159236	15271
YOR052C	151	28.4039735099	4289
YJL133C-A	75	162.986666667	12224
YEL060C	636	48.641509434	30936
YDL181W	86	22.8488372093	1965
YKR001C	705	30.5304964539	21524
YDL232W	37	37.1891891892	1376
YJR148W	377	48.9389920424	18450
YIL051C	146	118.616438356	17318
YML001W	209	37.8851674641	7918
YML058W-A	69	16.8985507246	1166
YOR063W	388	551.590206186	214017
YHR049W	244	35.1598360656	8579
YOL040C	143	549.300699301	78550
YCL035C	111	59.7207207207	6629
YOR276W	162	62.0555555556	10053
YLR038C	84	31.6666666667	2660
YJL173C	123	20.8536585366	2565
YMR072W	184	63.3423913043	11655
YGR209C	105	215.314285714	22608
YFL038C	207	73.2463768116	15162
YIL053W	251	267.960159363	67258
YPL059W	151	24.3708609272	3680
YGL253W	487	230.574948665	112290
YAR002C-A	220	38.3954545455	8447
YGL245W	709	94.2538787024	66826
YKL104C	718	22.573816156	16208
YBR109C	148	96.6081081081	14298
YOL077W-A	69	31.2173913043	2154
YBR154C	216	23.4861111111	5073
YPR062W	159	34.9685534591	5560
YDL185W	1072	109.712686567	117612
YLR178C	220	24.2818181818	5342
YDL212W	211	27.7488151659	5855
YML022W	188	38.7606382979	7287
YIL142W	528	27.1912878788	14357
YNL138W	527	40.1290322581	21148
YGL255W	377	352.75066313	132987
YOL143C	170	105.464705882	17929
YHL015W	122	550.729508197	67189
YDL084W	447	80.3713646532	35926
YFL022C	504	37.5099206349	18905
YNL071W	483	61.4306418219	29671
YOR323C	457	38.6958424508	17684
YER026C	277	100.324909747	27790
YPR035W	371	287.69541779	106735
YOR157C	262	44.8244274809	11744
YGL054C	139	52.8561151079	7347
YMR203W	388	46.2912371134	17961
YPL225W	147	64.5986394558	9496
YGR020C	119	55.3277310924	6584
YPR183W	268	61.4850746269	16478
YDR525W-A	80	24.4	1952
YLR075W	222	667.072072072	148090
YER009W	126	152.261904762	19185
YBR011C	288	316.163194444	91055
YKL060C	360	2262.25833333	814413
YPR149W	174	172.137931034	29952
YNL015W	76	73.6710526316	5599
YBR085C-A	86	70.9534883721	6102
YPL028W	399	80.0175438596	31927
YLR262C-A	65	106.753846154	6939
YJL166W	95	48.3473684211	4593
YOR230W	438	47.7694063927	20923
YGR234W	400	64.2675	25707
YFL005W	216	43.0509259259	9299
YGL123W	255	498.850980392	127207
YLR109W	177	1535.81920904	271840
YKL016C	175	35.2114285714	6162
YPL111W	334	105.251497006	35154
YIL033C	417	20.2685851319	8452
YGR106C	266	47.7819548872	12710
YAL044C	171	46.6608187135	7979
YHR143W	326	33.4447852761	10903
YGR008C	85	47.9647058824	4077
YBR221C	367	66.9209809264	24560
YHR064C	539	89.4489795918	48213
YDR377W	102	54.5196078431	5561
YOR327C	116	34.8965517241	4048
YOL139C	214	91.4859813084	19578
YER146W	94	32.9468085106	3097
YOR232W	229	37.6069868996	8612
YEL051W	257	41.5291828794	10673
YCR012W	417	1834.95443645	765176
YML028W	197	736.92893401	145175
YLR043C	104	160.634615385	16706
YER091C	768	276.98828125	212727
YKR013W	330	35.3090909091	11652
YOR020C	107	145.327102804	15550
YBR126C	496	54.8205645161	27191
YGL202W	501	53.6966067864	26902
YGR060W	310	64.0129032258	19844
YJR016C	586	52.9778156997	31045
YDL100C	355	47.1887323944	16752
YOR007C	347	64.2305475504	22288
YHR019C	555	66.6396396396	36985
YIL078W	735	65.2530612245	47961
YMR307W	560	170.0125	95207
YKR093W	602	49.6146179402	29868
YDR032C	199	94.6432160804	18834
YDR158W	366	85.6912568306	31363
YLR340W	313	506.271565495	158463
YGL106W	150	53.7933333333	8069
YNR058W	481	39.4407484407	18971
YDL022W	392	76.9209183673	30153
YBR052C	211	30.7393364929	6486
YDL124W	313	56.3897763578	17650
YNL079C	200	105.305	21061
YKL142W	220	51.1727272727	11258
YOR210W	71	46.1690140845	3278
YGR285C	434	110.170506912	47814
YGR082W	184	25.4673913043	4686
YOR187W	438	34.1940639269	14977
YMR217W	526	43.5627376426	22914
YDL126C	836	97.1782296651	81241
YHR128W	217	48.3133640553	10484
YKL216W	315	132.26984127	41665
YJL026W	400	83.27	33308
YGL068W	195	29.4256410256	5738
YGR169C-A	93	18.0537634409	1679
YGR175C	497	48.3440643863	24027
YJR104C	155	385.522580645	59756
YOR317W	701	55.8873038516	39177
YGL037C	217	68.8755760369	14946
YGR240C	988	85.8997975709	84869
YPL010W	190	37.5105263158	7127
YHR072W-A	59	74.0508474576	4369
YKL080W	393	42.8142493639	16826
YMR318C	361	45.3850415512	16384
